"id","svgdir_id","uuid","term_id","color","x_min","x_max","x_med","taid"
"1087","75","be75a2c2-7759-11e4-adb6-57ce06b062da","4417","#996E03","2170","2410","2290","A12.3.02.401"
"1088","20","be7557c2-7759-11e4-adb6-57ce06b062da","4367","#A212BF","2400","2520","2460","A12.3.01.002"
"1089","77","be755844-7759-11e4-adb6-57ce06b062da","4368","#5E13B6","2150","2485","2318","A12.3.01.003"
"1090","78","be755c04-7759-11e4-adb6-57ce06b062da","4374","#F02A51","2490","2555","2523","A12.3.01.009"
"1091","79","be755c90-7759-11e4-adb6-57ce06b062da","4375","#969874","2425","2540","2483","A12.3.01.010"
"1092","19","be74a228-7759-11e4-adb6-57ce06b062da","4128","#207B52","1900","3595","2748","A12.2.10.001"
"1093","81","be74f750-7759-11e4-adb6-57ce06b062da","4219","#DE9F3C","3335","3800","3568","A12.2.12.069"
"1094","82","be75095c-7759-11e4-adb6-57ce06b062da","4241","#F7AA3A","3600","3825","3713","A12.2.14.001"
"1095","82","be75095c-7759-11e4-adb6-57ce06b062da","4241","#3A7571","3600","3835","3718","A12.2.14.001"
"1096","84","be750a2e-7759-11e4-adb6-57ce06b062da","4242","#3D4C84","3830","4070","3950","A12.2.15.001"
"1097","84","be750a2e-7759-11e4-adb6-57ce06b062da","4242","#831E41","3840","4055","3948","A12.2.15.001"
"1098","86","be750af6-7759-11e4-adb6-57ce06b062da","4243","#D7B1BD","3790","3950","3870","A12.2.15.002"
"1099","87","be750fce-7759-11e4-adb6-57ce06b062da","4249","#AD1DF0","4075","4520","4298","A12.2.15.008"
"1100","87","be750fce-7759-11e4-adb6-57ce06b062da","4249","#DA807A","4000","4520","4260","A12.2.15.008"
"1101","89","be751424-7759-11e4-adb6-57ce06b062da","4254","#3D2893","4025","4140","4083","A12.2.15.013"
"1102","89","be751424-7759-11e4-adb6-57ce06b062da","4254","#A2496F","3970","4140","4055","A12.2.15.013"
"1103","91","be74d0c2-7759-11e4-adb6-57ce06b062da","4162","#73F574","2930","3005","2968","A12.2.12.012"
"1104","92","be75182a-7759-11e4-adb6-57ce06b062da","4259","#5CEEF8","4075","4300","4188","A12.2.15.018"
