"66","65","0","2","4","3","H1.00.01.1.00011 protrusio granuli intramembranacei -- Protrusion of intramembrane particle",NULL,"H1.00.01.1.00011","Protrusion of intramembrane particle","protrusio granuli intramembranacei"," protruzie granulară intramembranară "
"67","56","0","2","4","3","H1.00.01.1.00012 facies interna -- Inner surface; Cytosolic face",NULL,"H1.00.01.1.00012","Inner surface; Cytosolic face","facies interna"," față internă "
"68","56","0","2","4","3","H1.00.01.1.01001 specialisationes superficiales -- Surface specializations",NULL,"H1.00.01.1.01001","Surface specializations","specialisationes superficiales"," specializări membranare"
"69","68","0","2","4","3","H1.00.01.1.01002 invaginatio cellularis -- Cell invagination",NULL,"H1.00.01.1.01002","Cell invagination","invaginatio cellularis"," invaginație celulară"
"70","68","0","2","4","3","H1.00.01.1.01003 processus cellularis -- Cell process",NULL,"H1.00.01.1.01003","Cell process","processus cellularis"," proces celular "
"71","70","0","2","4","3","H1.00.01.1.01004 processus amoeboideus -- Amoeboid process",NULL,"H1.00.01.1.01004","Amoeboid process","processus amoeboideus"," proces amiboid "
"72","70","0","2","4","3","H1.00.01.1.01005 pseudopodium -- Pseudopod",NULL,"H1.00.01.1.01005","Pseudopod","pseudopodium"," pseudopod "
"73","70","0","2","4","3","H1.00.01.1.01006 microspina -- Microspike",NULL,"H1.00.01.1.01006","Microspike","microspina"," microspin"
"74","70","0","2","4","3","H1.00.01.1.01007 filopodium -- Filiform process; Filipodium",NULL,"H1.00.01.1.01007","Filiform process; Filipodium","filopodium"," filopod "
"75","70","0","2","4","3","H1.00.01.1.01008 lamellipodium -- Lamellipodium, Lamellar process",NULL,"H1.00.01.1.01008","Lamellipodium, Lamellar process","lamellipodium"," lamelopod "
"76","70","0","2","4","3","H1.00.01.1.01009 processus polypoideus -- Polypoid process",NULL,"H1.00.01.1.01009","Polypoid process","processus polypoideus"," proces polipoid "
"77","70","0","2","4","3","H1.00.01.1.01010 microplica -- Microridge",NULL,"H1.00.01.1.01010","Microridge","microplica"," microplică "
"78","70","0","2","4","3","H1.00.01.1.01011 microvillus -- Microvillus",NULL,"H1.00.01.1.01011","Microvillus","microvillus"," microvil "
"79","70","0","2","4","3","H1.00.01.1.01012 limbus microvillosus  ;  limbus penicillatus -- Microvillous border; Brush border; Striated border",NULL,"H1.00.01.1.01012","Microvillous border; Brush border; Striated border","limbus microvillosus  ;  limbus penicillatus","margine microviloasă ; margine în perie ; platou striat"
"79","650","0","2","4","3","H1.00.01.1.01012 limbus microvillosus  ;  limbus penicillatus  ;  limbus striatus -- Microvillous border; Brush border; Striated border",NULL,"H1.00.01.1.01012","Microvillous border; Brush border; Striated border","limbus microvillosus  ;  limbus penicillatus  ;  limbus striatus","margine microviloasă ; margine în perie ; platou striat"
"79","1928","0","2","4","3","H1.00.01.1.01012 limbus microvillosus  ;  limbus penicillatus  ;  limbus striatus -- Microvillous border; Brush border; Striated border",NULL,"H1.00.01.1.01012","Microvillous border; Brush border; Striated border","limbus microvillosus  ;  limbus penicillatus  ;  limbus striatus","margine microviloasă ; margine în perie ; platou striat"
"79","1961","0","2","4","3","H1.00.01.1.01012 limbus microvillosus  ;  limbus penicillatus  ;  limbus striatus -- Microvillous border; Brush border; Striated border",NULL,"H1.00.01.1.01012","Microvillous border; Brush border; Striated border","limbus microvillosus  ;  limbus penicillatus  ;  limbus striatus","margine microviloasă ; margine în perie ; platou striat"
